card_id,due_date
1,2019-08-15 15:49:59
2,2020-01-08 18:18:10
3,2020-03-02 08:37:59
4,2019-05-02 23:55:37
5,2019-12-25 11:15:20
6,2019-07-19 14:12:14
7,2020-04-05 05:34:45
8,2019-07-25 07:11:01
9,2019-10-21 22:42:37
10,2019-06-07 06:32:39
11,2019-10-01 20:42:04
12,2020-04-24 17:46:15
13,2019-12-18 18:28:30
14,2020-01-10 14:15:17
15,2020-05-09 21:12:20
16,2019-06-26 05:32:44
17,2019-10-28 11:21:51
18,2019-08-02 16:26:06
19,2019-10-17 11:16:40
20,2019-12-01 22:25:53
21,2020-04-19 15:30:56
22,2020-03-26 14:47:29
23,2019-08-11 09:24:23
24,2019-08-27 14:46:01
25,2019-11-22 07:10:56
26,2019-12-05 19:41:05
27,2019-09-04 22:57:23
28,2019-06-19 21:57:21
29,2019-10-31 09:54:30
30,2019-11-18 00:46:23
31,2020-01-08 07:52:29
32,2020-03-26 23:13:55
33,2019-07-04 11:03:28
34,2020-02-07 17:27:42
35,2020-02-08 05:18:43
36,2019-11-01 17:59:45
37,2019-11-18 10:26:29
38,2019-12-30 02:27:19
39,2019-06-11 12:21:30
40,2019-11-03 22:17:31
41,2020-05-27 17:50:38
42,2019-05-13 11:50:25
43,2020-03-09 19:56:15
44,2019-07-31 10:41:29
45,2020-03-11 14:34:19
46,2020-03-04 11:30:40
47,2020-03-03 01:15:39
48,2019-10-04 00:30:09
49,2019-08-16 22:06:17
50,2019-10-02 13:38:19
51,2020-01-12 02:54:33
52,2019-08-23 13:54:47
53,2020-05-14 12:53:15
54,2020-03-03 10:22:48
55,2019-08-08 22:09:57
56,2019-12-03 12:44:19
57,2019-10-21 16:40:40
58,2020-05-13 08:35:40
59,2019-08-04 18:21:51
60,2019-07-16 13:37:36
61,2020-01-21 02:00:54
62,2020-03-21 22:07:42
63,2019-06-12 22:39:10
64,2019-08-08 21:10:26
65,2019-06-27 17:21:27
66,2020-02-11 21:16:16
67,2019-07-07 23:21:10
68,2019-09-11 14:48:17
69,2019-06-01 23:25:24
70,2019-12-14 14:22:30
71,2019-12-20 06:44:20
72,2020-01-16 19:39:56
73,2020-01-23 13:40:33
74,2019-05-31 23:15:01
75,2019-11-07 03:41:24
76,2019-12-09 15:52:21
77,2019-08-03 13:03:52
78,2019-09-21 23:10:04
79,2019-05-20 16:49:41
80,2019-09-20 12:44:12
81,2019-12-06 22:01:14
82,2019-05-25 14:42:38
83,2019-12-07 17:25:00
84,2019-12-11 23:17:04
85,2019-07-02 01:23:48
86,2019-08-24 01:20:05
87,2019-07-02 02:12:23
88,2019-07-13 08:30:33
89,2020-01-04 07:25:08
90,2019-05-06 08:12:09
91,2020-04-30 23:32:14
92,2019-11-16 09:59:52
93,2019-07-02 22:15:32
94,2019-12-14 00:02:01
95,2019-08-09 05:13:56
96,2019-05-11 09:53:29
97,2019-11-30 09:59:00
98,2020-02-18 22:27:47
99,2019-12-14 20:23:29
100,2019-09-12 04:07:38
101,2020-04-05 13:26:37
102,2019-10-05 01:43:27
103,2019-05-04 19:47:50
104,2019-07-29 21:53:28
105,2020-03-19 10:29:32
106,2019-05-08 00:15:54
107,2020-04-25 07:59:13
108,2019-08-26 04:45:59
109,2020-02-29 17:16:28
110,2020-05-27 20:26:36
111,2019-06-08 07:24:59
112,2019-07-29 22:39:45
113,2019-10-21 05:53:09
114,2019-11-20 11:52:58
115,2019-06-15 02:20:06
116,2019-11-04 14:02:20
117,2019-07-19 23:09:03
118,2020-02-24 10:27:57
119,2019-06-08 18:21:27
120,2020-01-22 06:03:21
121,2019-07-08 16:13:35
122,2019-10-31 09:38:51
123,2020-01-09 11:52:39
124,2020-04-06 18:05:20
125,2020-01-16 09:28:32
126,2020-01-30 01:45:14
127,2019-09-17 12:22:04
128,2019-07-16 12:26:39
129,2020-04-26 06:27:24
130,2020-03-29 00:22:05
131,2019-10-24 08:53:24
132,2019-05-10 18:21:27
133,2019-09-30 05:07:09
134,2019-07-27 09:14:17
135,2019-06-08 19:57:49
136,2020-05-27 09:09:55
137,2019-09-24 22:01:32
138,2019-06-05 01:29:09
139,2019-05-04 02:21:11
140,2019-08-25 06:54:05
141,2020-03-24 05:21:18
142,2019-12-04 17:18:27
143,2019-12-10 07:02:37
144,2019-11-05 16:45:28
145,2020-02-04 18:08:01
146,2020-01-11 05:59:33
147,2020-01-08 00:14:31
148,2019-06-09 12:32:16
149,2019-05-23 12:57:59
150,2019-08-18 12:40:23
151,2019-10-21 19:08:25
152,2020-01-10 07:48:02
153,2020-04-27 18:09:18
154,2019-05-04 11:12:58
155,2020-03-27 09:26:52
156,2019-10-23 21:16:21
157,2019-12-31 03:01:11
158,2019-11-01 05:11:29
159,2020-05-04 21:41:53
160,2020-01-21 17:44:47
161,2020-04-29 04:33:21
162,2019-11-21 09:43:26
163,2020-05-16 11:48:42
164,2019-05-07 07:38:26
165,2019-07-19 00:56:45
166,2019-07-25 02:52:08
167,2019-09-19 07:14:51
168,2020-04-30 15:14:38
169,2019-11-10 23:56:55
170,2019-06-16 13:35:25
171,2019-10-18 16:45:28
172,2020-03-01 03:13:54
173,2019-09-30 20:22:49
174,2019-09-11 18:00:37
175,2019-11-23 22:24:06
176,2019-11-04 11:02:04
177,2020-04-30 17:43:45
178,2019-08-12 20:32:19
179,2019-07-21 01:23:00
180,2020-03-25 22:41:31
181,2019-09-23 04:09:33
182,2020-05-02 17:47:08
183,2019-10-04 14:05:21
184,2020-04-14 11:06:55
185,2020-05-22 09:15:24
186,2019-06-19 08:44:39
187,2019-08-17 18:33:03
188,2019-05-11 02:24:22
189,2020-05-04 01:16:26
190,2020-03-13 17:30:08
191,2019-12-31 19:08:03
192,2019-07-11 21:29:34
193,2020-02-21 06:16:10
194,2020-01-04 01:21:29
195,2019-08-06 09:27:24
196,2019-06-10 09:22:11
197,2020-05-12 08:37:58
198,2020-03-19 06:42:41
199,2020-01-24 07:41:29
200,2020-05-25 18:05:57
201,2020-05-15 17:21:20
202,2020-02-23 00:17:31
203,2020-03-20 05:23:40
204,2020-02-02 01:28:00
205,2019-05-22 04:15:04
206,2020-05-04 20:45:01
207,2019-08-02 05:19:37
208,2019-07-10 14:05:18
209,2019-12-25 22:55:13
210,2019-11-08 11:39:50
211,2019-11-04 02:58:48
212,2019-05-13 03:07:02
213,2020-02-14 16:52:41
214,2020-05-15 23:51:21
215,2019-07-02 07:12:47
216,2020-02-21 10:29:02
217,2020-02-02 07:52:39
218,2019-12-14 11:29:15
219,2020-04-20 08:34:03
220,2020-01-26 13:53:32
221,2019-12-02 03:25:49
222,2019-10-18 10:11:50
223,2019-08-06 03:36:47
224,2019-07-20 21:46:26
225,2020-01-08 09:01:45
226,2019-11-04 15:26:04
227,2020-05-23 14:54:34
228,2019-11-21 05:58:41
229,2020-02-24 02:54:16
230,2019-09-28 02:04:43
231,2020-02-09 15:58:08
232,2019-11-01 01:09:01
233,2020-05-18 05:26:30
234,2020-01-31 00:14:22
235,2020-01-05 13:58:32
236,2019-06-20 20:45:03
237,2020-04-11 11:35:14
238,2019-10-16 06:22:37
239,2019-09-05 10:26:10
240,2019-06-13 16:51:09
241,2019-12-03 19:26:21
